Study Name,Year,No. of,No of,Drug,Sponsor,No.,Mean,%,Dose,Dosing,Mean,Baseline,Mean,Length,Diagno,Recruitmen,Multi/,Treatment,Patient,Placeb,Rescue,,
Bosc 1997b,1997,2,2,reboxetine,Yes,79,44,0.72,8‐10,Flexible,8,HAMD,21,28.60,8,DSM‐,Cross‐,Multi‐,Unclear,Both,Unclear,Yes,
Bose 2008,unpublis,2,2,escitalopram,Yes,132,68.1,*,10‐20,Flexible,*,HAM,D,24.90,12,DSM‐IV,North,Multi‐,Unclear,Outpatients,Unclear,Unclear,
Bougerol 1997,1997,2,2,fluoxetine,No,158,41 (*),*,20‐20,Fixed,20,MADR,S,31.80,8,DSM‐,Europe,Multi‐,Secondary,Other/Unclea,No,Yes,
Boulenger 2006,2006,2,2,escitalopram,Yes,232,43.8,*,20‐20,Fixed,20,MADR,S,35.20,24,DSM‐IV,Europe,Multi‐,Both,Outpatients,No,Unclear,
Boulenger 2014,2014,4,4,placebo,No,158,48.1,0.70,0‐0,Fixed,0,MADR,S,31.50,8,DSM‐IV,Cross‐,Multi‐,Secondary,Both,Unclear,Yes,
Boyer 2008,2008,3,3,desvenlafaxi,Yes,166,44,0.70,50‐50,Fixed,50,HAMD,17,24.26,8,DSM‐IV,Cross‐,Multi‐,Both,Outpatients,Unclear,Unclear,
Bremner,1995,3,3,amitriptyline,No,50,39 (*),*,40‐280,Flexible,187,HAMD,21,32,6,DSM‐III,North,Single,Secondary,Outpatients,Yes,Yes,
Brown 1986,1986,2,3,fluvoxamine,Unclear,33,33.4,*,200‐300,Flexible,214,HAMD,21,*,6,DSM‐III,North,Multi‐,Secondary,Outpatients,Unclear,Unclear,
Brunoni 2012,2012,2,4,sertraline,No,30,41,*,50‐50,Fixed,50,MADR,S,30.5,6,DSM‐IV,South,Single,Secondary,Outpatients,No,Yes,
Buchsbaum,1997,2,2,sertraline,Yes,7,38.5,0.59,*,Other/U,*,HAMD,24,32.00,10,DSM‐,North,Unclear,Secondary,Unclear,Yes,Unclear,
Bueno 1997,1997,2,2,nefazodone,Unclear,19,46.7,0.79,200‐500,Flexible,*,HAM,D,*,8,DSM‐,South,Unclear,Unclear,Outpatients,Yes,Unclear,
Burke 2002,2002,4,4,escitalopram,Yes,124,40.6,*,10‐10,Fixed,10,HAM,D,24.30,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Yes,Unclear,
Byerley 1988,1988,2,3,placebo,No,29,37.5,*,0‐0,Flexible,0,HAMD,21,27.40,6,DSM‐III,North,Multi‐,Secondary,Outpatients,Yes,Yes,
CAGO178A230,unpublis,3,3,agomelatine,Yes,169,42.1,0.62,25‐50,Flexible,*,HAMD,17,27.20,8,DSM‐IV,North,Multi‐,Unclear,Unclear,Unclear,Unclear,
Caligiuri 2003,2003,2,3,bupropion,No,7,42,*,*,Flexible,400,HAMD,17,18.40,9,DSM‐IV,North,Single,Secondary,Outpatients,Unclear,Unclear,
Carman 1991,1991,2,3,amitriptyline,No,50,*,*,60‐300,Flexible,*,HAMD,17,27.6,6,DSM‐III,North,Unclear,Unclear,Outpatients,Yes,Unclear,
Casabona 2002,2002,2,2,paroxetine,No,56,*,*,20‐20,Fixed,20,*,,*,8,DSM‐IV,Europe,Multi‐,Unclear,Outpatients,Unclear,Unclear,
Cassano 1986,1986,2,3,fluvoxamine,Yes,161,42.7,*,50‐300,Flexible,145,HAMD,17,25.61,4,DSM‐III,Cross‐,Multi‐,Unclear,Both,Yes,Yes,
Cassano 2002,2002,2,2,paroxetine,Yes,123,75.61,*,20‐40,Flexible,*,HAM,D,22.95,6,ICD‐10,Europe,Multi‐,Unclear,Outpatients,Yes,Unclear,
Chang 2015,2015,2,2,fluoxetine,No,58,41.7,0.76,20‐80,Flexible,21,HAMD,21,24.30,6,DSM‐IV,Asia,Unclear,Other/Unc,Outpatients,Unclear,Yes,
Chouinard,1983,2,2,amitriptyline,Unclear,41,35.1,*,75‐150,Flexible,119,HAMD,21,26.10,13,Other,North,Multi‐,Unclear,Outpatients,Yes,Yes,
Chouinard 1985,1985,2,2,fluoxetine,Unclear,25,41 (*),*,40‐80,Flexible,69,HAMD,21,27.60,5,RDC,North,Multi‐,Secondary,Outpatients,Yes,Yes,
Chouinard 1999,1999,2,2,paroxetine,Yes,102,40.6,*,20‐50,Flexible,26,HAMD,21,25.91,12,DSM‐,North,Multi‐,Unclear,Unclear,Yes,Unclear,
Christiansen,1996,2,2,paroxetine,Unclear,71,*,*,20‐40,Flexible,*,HAMD,17,23.8,8,*,Europe,Multi‐,Unclear,Outpatients,Unclear,Unclear,
CL3‐20098‐022,2001,3,3,agomelatine,Yes,133,41,0.67,25‐25,Fixed,25,HAMD,17,27.60,24,DSM‐IV,Europe,Multi‐,Secondary,Both,Yes,No,
CL3‐20098‐023,2001,3,3,agomelatine,Yes,142,40.6,0.75,25‐25,Fixed,25,HAMD,17,25.70,24,DSM‐IV,Cross‐,Multi‐,Secondary,Both,No,No,
CL3‐20098‐024,2002,3,4,agomelatine,Yes,301,40.4,0.73,25‐50,Fixed,38,HAMD,17,26.40,24,DSM‐IV,Cross‐,Multi‐,Secondary,Both,No,Unclear,
CL3‐20098‐026,2001,2,2,agomelatine,Yes,109,66.8,*,25‐25,Fixed,25,HAMD,17,23.40,24,DSM‐IV,Cross‐,Multi‐,Secondary,Both,No,No,
CL3‐20098‐036,2004,2,2,agomelatine,Yes,137,39.6,0.72,50‐50,Fixed,50,MADR,S,27.90,24,DSM‐IV,Cross‐,Multi‐,Primary,Outpatients,No,No,
