Study Name,Year,No. of,No of,Drug,Sponsor,No.,Mean,%,Dose,Dosing,Mean,Baseline,Mean,Length,Diagno,Recruitmen,Multi/,Treatment,Patient,Placeb,Rescue,,
McGrath 2000,2000,2,2,fluoxetine,Yes,49,41.6,*,20‐60,Flexible,51,HAMD,17,*,10,DSM‐IV,North,Single,Secondary,Outpatients,Yes,Unclear,
McIntyre 2014,2014,3,3,placebo,No,198,45.6,0.66,0‐0,Fixed,0,MADR,S,31.34,8,DSM‐IV,Cross‐,Multi‐,Secondary,Both,Unclear,No,
McPartlin 1998,1998,2,2,paroxetine,No,178,44,*,20‐20,Fixed,20,HAMD,17,23.00,12,DSM‐IV,Europe,Multi‐,Primary,Outpatients,Unclear,Yes,
MDF/29060/III/,unpublis,2,2,paroxetine,Yes,32,73 (*),,20‐30,Flexible,*,MADR,S,30.88,5,Feighne,Europe,Multi‐,Other/Unc,Outpatients,Yes,Yes,
MDUK/26090/II,unpublis,2,3,paroxetine,Yes,4,*,0.50,15‐30,Flexible,*,*,,*,4,Feighne,Europe,Single,Secondary,Inpatients,Unclear,Unclear,
Mehtonen,2000,2,2,sertraline,No,72,41,*,50‐100,Flexible,*,HAMD,21,25.80,8,DSM‐IV,Europe,Multi‐,Other/Unc,Outpatients,No,Unclear,
Mendels 1995,1995,3,3,nefazodone,Yes,80,38.4,0.64,50‐300,Flexible,247,HAMD,17,25.10,6,DSM‐III,North,Multi‐,Other/Unc,Other/Unclea,Unclear,Unclear,
Mendels 1999,1999,2,2,citalopram,No,89,43.3,*,20‐80,Flexible,52,HAMD,24,33.52,4,DSM‐III,North,Multi‐,Secondary,Outpatients,Yes,Yes,
Miller 1989,1989,2,2,paroxetine,Yes,22,41.6,*,30‐30,Fixed,30,HAMD,21,23.70,4,Feighne,Europe,Single,Other/Unc,Outpatients,Unclear,Unclear,
MIR 003‐003,unpublis,2,2,mirtazapine,Yes,45,43 (*),0.47,*‐35,Flexible,27,HAMD,21,25.40,6,*,North,Unclear,Other/Unc,Other/Unclea,Yes,Yes,
MIR 003‐020,unpublis,3,3,mirtazapine,Yes,44,44,(*),0.46,5‐35,Flexible,24,HAMD,21,27.80,6,*,North,Unclear,Other/Unc,Outpatients,Yes,Yes
MIR 003‐021,unpublis,3,3,mirtazapine,Yes,50,45,(*),0.56,5‐35,Flexible,21,HAMD,21,24.20,6,*,North,Unclear,Other/Unc,Outpatients,Yes,Yes
MIR 84062,unpublis,3,3,mirtazapine,Yes,15,*,,*,*,Flexible,*,HAMD,17,*,6,DSM‐III,Europe,Single,Other/Unc,Outpatients,Unclear,Unclear
Mischoulon,2014,2,3,escitalopram,No,69,4,5,0.50,10‐20,Flexible,*,HAMD,17,19.25,12,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Unclear,Unclear
Miura 2000,2000,2,2,paroxetine,Yes,109,45,.9,*,20‐40,Flexible,32,HAMD,17,23.80,6,DSM‐IV,Asia,Multi‐,Secondary,Both,No,Yes
Moises 1981,1981,2,2,amitriptyline,Unclear,22,48,.7,0.86,150‐200,Flexible,164,HAM,D,24.9,4,Other,Europe,Single,Secondary,Inpatients,Unclear,Yes
Moller 1993,1993,2,2,paroxetine,Yes,78,47,.5,*,30‐50,Flexible,33,HAMD,21,28.60,6,DSM‐III,Europe,Multi‐,Secondary,Inpatients,Yes,Yes
Moller 1998,1998,2,2,amitriptyline,No,79,49,.5,0.71,75‐225,Flexible,141,HAMD,21,29.1,6,DSM‐,Europe,Multi‐,Secondary,Inpatients,No,Yes
Moller 2000,2000,2,2,sertraline,Yes,116,47,.7,*,50‐100,Flexible,55,HAMD,21,27.10,6,DSM‐,Europe,Multi‐,Both,Outpatients,No,Yes
Montgomery,unpublis,3,3,citalopram,Yes,70,*,,*,20‐20,Fixed,20,HAMD,17,24.29,6,DSM‐,*,Multi‐,Other/Unc,Both,Yes,Yes
Montgomery,2004,2,2,escitalopram,Yes,148,4,9,*,10‐20,Flexible,12,HAMD,17,19.99,8,DSM‐IV,Europe,Multi‐,Primary,Other/Unclea,No,Unclear
Montgomery,2001,2,2,agomelatine,Yes,167,42.8,*,25‐25,Fixed,25,MADR,S,23.10,12,DSM‐IV,Cross‐,Multi‐,Primary,Outpatients,No,No,
Montgomery,2013,2,2,placebo,No,281,45 (*),0.66,0‐0,Flexible,0,HAMD,17,25.80,10,DSM‐IV,Cross‐,Multi‐,Other/Unc,Outpatients,Unclear,Yes,
Moon 1994,1994,2,2,sertraline,Yes,51,42 (*),0.41,50‐150,Flexible,64,HAMD,17,23.9,6,DSM‐III,Europe,Multi‐,Primary,Outpatients,Yes,Yes,
Moore 2005,2005,2,2,escitalopram,Yes,142,44.1,*,20‐20,Fixed,20,MADR,S,36.30,8,DSM‐IV,Europe,Multi‐,Both,Outpatients,No,Unclear,
Moreno 2005,2005,2,3,fluoxetine,No,20,37.7,0.83,20‐20,Fixed,20,HAMD,21,15.41,8,DSM‐IV,South,Single,Secondary,Outpatients,Yes,Yes,
Moscovitch,2004,2,2,sertraline,Yes,93,39.6,*,50‐200,Flexible,111,HAMD,17,18.62,8,DSM‐,Cross‐,Multi‐,Secondary,Outpatients,Yes,Yes,
Mullin 1996,1996,2,2,mirtazapine,Yes,79,45.4,*,20‐60,Flexible,*,HAMD,17,22.50,5,DSM‐III,Europe,Multi‐,Secondary,Outpatients,Yes,Yes,
Mundt 2012,2012,2,2,sertraline,Yes,80,37.8,0.63,50‐100,Flexible,*,HAMD,17,24.90,4,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Unclear,Unclear,
Munizza 2006,2006,2,2,sertraline,No,60,46.9,0.70,50‐100,Flexible,59,HAMD,17,21.9,6,DSM‐IV,Europe,Multi‐,Other/Unc,Outpatients,Unclear,Yes,
Murasaki 1998,1998,2,2,fluvoxamine,Yes,113,40.5,*,50‐150,Flexible,87,HAMD,21,22.90,4,DSM‐,Asia,Multi‐,Both,Both,No,Yes,
Murasaki 2010a,2002,2,2,mirtazapine,Yes,104,42,0.68,15‐45,Flexible,23,HAMD,17,25.10,6,DSM‐IV,Europe,Multi‐,Both,Outpatients,No,Yes,
Murasaki,2002,2,2,mirtazapine,Yes,101,40.7,0.50,15‐45,Flexible,*,HAMD,17,22.90,6,DSM‐IV,Asia,Multi‐,Both,Outpatients,No,Yes,
MY‐1042/BRL‐,unpublis,2,2,paroxetine,Yes,125,41.7,*,20‐50,Flexible,*,HAMD,24.47,8,DSM‐,North,Multi‐,Other/Unc,Outpatients,Yes,Unclear,,
MY‐1043/BRL‐,unpublis,3,3,paroxetine,Yes,284,42.3,*,20‐50,Flexible,*,HAMD 21,*,12,DSM‐,North,Multi‐,Other/Unc,Outpatients,Yes,Unclear,,
MY‐1045/BRL‐,unpublis,3,3,paroxetine,Yes,357,42.3,*,20‐50,Flexible,*,HAMD 21,25.60,12,DSM‐,North,Multi‐,Other/Unc,Outpatients,Yes,Unclear,,
Mynors‐Wallis,1995,2,3,amitriptyline,No,31,37.2,*,150‐150,Fixed,139,HAMD 17,19.1,12,RDC,Europe,Single,Primary,Outpatients,Unclear,Unclear,,
NCT00822744,unpublis,2,5,escitalopram,Unclear,103,*,*,10‐10,Fixed,10,HAMD 17,*,8,DSM‐IV,Cross‐,Multi‐,Other/Unc,Other/Unclea,Unclear,Unclear,,
NCT01020799,unpublis,2,3,escitalopram,No,50,36.22,0.44,20‐20,Fixed,20,HAMD,24.40,4,DSM‐IV,North,Multi‐,Other/Unc,Other/Unclea,Unclear,Unclear,,
NCT01145755,unpublis,2,3,duloxetine,No,47,39.9,0.51,60‐60,Fixed,60,MADRS,*,6,*,North,Multi‐,Other/Unc,Other/Unclea,Unclear,Unclear,,
NCT01808612,unpublis,3,3,fluoxetine,Yes,169,40.5,0.49,20‐20,Fixed,20,HAMD,21,*,6,*,Asia,Multi‐,Other/Unc,Outpatients,Unclear,Unclear,
Nemeroff 1995,1995,2,2,fluvoxamine,Yes,49,38.5,*,50‐150,Flexible,124,HAMD,21,24.57,7,DSM‐,North,Multi‐,Secondary,Outpatients,Yes,Yes,
Nemeroff 2007,2007,3,3,fluoxetine,Unclear,104,37.9,*,20‐60,Flexible,41,HAMD,21,23.70,6,DSM‐IV,North,Multi‐,Secondary,Outpatients,Yes,Unclear,
Newhouse,2000,2,2,sertraline,Yes,117,68,*,50‐100,Flexible,72,HAMD,24,25.10,12,DSM‐,North,Multi‐,Secondary,Outpatients,Yes,Yes,
Nierenberg,2007,3,3,escitalopram,No,274,43.3,*,10‐10,Fixed,10,HAMD,17,17.80,8,DSM‐IV,North,Multi‐,Secondary,Outpatients,Yes,Unclear,
Ninan 2003,unpublis,2,2,escitalopram,Yes,154,37.8,*,10‐20,Flexible,*,MADR,S,30.40,8,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Unclear,Unclear,
NKD20006,unpublis,2,3,paroxetine,Yes,125,37.9,0.63,20‐20,Fixed,20,HAMD,17,24.70,8,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Yes,No,
Noguera 1991,1991,2,2,clomipramin,No,60,46 (*),*,100‐100,Fixed,100,HAM,D,24.60,6,DSM‐III,Europe,Multi‐,Secondary,Other/Unclea,Yes,Yes,
Norton 1984,1984,2,3,fluvoxamine,Yes,35,39.2,*,100‐*,Flexible,133,HAMD,17,19.50,4,RDC,Europe,Multi‐,Secondary,Outpatients,No,Yes,
Oakes 2012a,2012,2,2,duloxetine,Yes,257,42.2,0.60,60‐60,Fixed,60,HAMD,17,22.90,36,DSM‐IV,North,Multi‐,Other/Unc,Other/Unclea,Unclear,Unclear,
Oakes 2012b,2012,2,2,duloxetine,Yes,261,44.7,0.65,60‐60,Fixed,60,HAMD,17,22.80,36,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Unclear,Unclear,
Olie 1997,1997,2,2,sertraline,Yes,129,43.6,0.61,50‐200,Flexible,*,HAMD,17,25.4,6,DSM‐,Europe,Unclear,Other/Unc,Outpatients,Yes,Yes,
Olie 2007 (CL3‐,2004,2,2,agomelatine,Yes,118,44.3,0.72,25‐50,Flexible,*,HAMD,17,27.40,6,DSM‐IV,Europe,Multi‐,Secondary,Both,No,No,
Ontiveros 1994,1994,2,2,paroxetine,No,60,43.1,*,20‐20,Fixed,20,HAMD,21,26.20,6,DSM‐,North,Multi‐,Other/Unc,Outpatients,Yes,No,
OntiverosSanch,1998,2,2,fluoxetine,Yes,21,38.6,0.43,20‐20,Fixed,20,HAMD,17,23.50,6,DSM‐,South,Single,Secondary,Outpatients,Yes,Unclear,
Ottevanger,1995,2,2,fluvoxamine,Yes,20,51.3,*,100‐300,Flexible,204,HAMD,17,26.40,4,Feighne,Europe,Multi‐,Other/Unc,Inpatients,Unclear,Yes,
Ou 2010,2010,2,2,citalopram,Unclear,120,36.4,0.54,20‐40,Flexible,28,HAMD,17,22.9,6,DSM‐IV,Asia,Multi‐,Secondary,Both,Unclear,Yes,
PAR 01 001,1989,2,2,paroxetine,Yes,25,42.1,0.35,10‐50,Flexible,27,HAMD,21,27.90,6,DSM‐III,North,Single,Other/Unc,Outpatients,Yes,Unclear,
PAR 279 MDUK,unpublis,2,3,paroxetine,Yes,19,39.7,0.68,30‐30,Fixed,30,HAM,D,22.80,6,*,Europe,Multi‐,Other/Unc,Other/Unclea,Yes,Unclear,
PAR 29060.308,unpublis,2,2,paroxetine,Yes,10,43.3,0.60,30‐30,Fixed,30,*,,*,6,*,Europe,Single,Secondary,Inpatients,Yes,Unclear,
PAR 29060.310,unpublis,2,2,paroxetine,Yes,10,39.1,0.67,30‐30,Fixed,30,*,,*,7,*,Europe,Single,Other/Unc,Other/Unclea,Yes,Unclear,
PAR 29060.314,unpublis,2,2,paroxetine,Yes,10,46.8,0.30,30‐30,Fixed,30,*,,*,6,*,Europe,Single,Other/Unc,Other/Unclea,Yes,Unclear,
PAR 29060.316,unpublis,2,2,paroxetine,Yes,9,47.2,0.78,30‐30,Fixed,30,*,,*,7,RDC,Europe,Multi‐,Secondary,Inpatients,Yes,Unclear,
PAR 29060.318,unpublis,2,2,paroxetine,Yes,9,47.3,1.00,30‐30,Fixed,30,,*,,*,7,*,Europe,Single,Secondary,Inpatients,Yes,Unclear
PAR 29060/281,unpublis,2,2,paroxetine,Yes,82,39.5,0.78,30‐30,Fixed,30,HAM,D,21,27.80,6,Feighne,Europe,Single,Primary,Other/Unclea,Yes,Unclear
PAR MDUK 032,unpublis,2,2,paroxetine,Yes,29,42.6,*,20‐30,Flexible,*,HAM,D,17,24.00,6,DSM‐III,*,Multi‐,Primary,Outpatients,Unclear,Unclear
Patris 1996,1996,2,2,fluoxetine,No,184,43 (*),*,20‐20,Fixed,20,MA,DR,S,29.40,8,DSM‐,Europe,Multi‐,Primary,Outpatients,Yes,Unclear
Paykel 1988,1988,2,2,amitriptyline,No,45,*,*,125‐175,Flexible,111,HAM,D,17,16.2,6,RDC,Europe,Multi‐,Primary,Outpatients,Unclear,Yes
Pelicier 1993,1993,2,2,clomipramin,No,42,70.2,,60‐60,Fixed,60,MA,DR,S,30.00,5,Feighne,Europe,Multi‐,Other/Unc,Outpatients,Unclear,Unclear
Perahia 2006,2006,4,4,duloxetine,Yes,93,46.47,*,80‐80,Fixed,80,HAM,D,17,21.30,8,DSM‐IV,Unspecified,Multi‐,Other/Unc,Outpatients,Yes,Unclear
Perahia 2008a,2008,2,2,duloxetine,Yes,166,45.42,0.72,60‐60,Fixed,60,HAM,D,17,23.10,6,DSM‐IV,Cross‐,Multi‐,Other/Unc,Outpatients,Unclear,Unclear
Perahia 2008b,2008,3,3,duloxetine,Yes,164,43.07,0.67,60‐60,Fixed,60,HAM,D,17,22.21,6,DSM‐IV,Cross‐,Multi‐,Other/Unc,Outpatients,Unclear,Unclear
Pomara 2013,2013,2,2,vilazodone,Unclear,255,*,*,40‐40,Fixed,40,MA,DR,S,*,9,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Unclear,Unclear
Preskorn 1991,1991,2,2,fluoxetine,Yes,30,*,*,20‐60,Flexible,*,HA,M,D,23.8,6,DSM‐III,North,Multi‐,Other/Unc,Outpatients,Yes,Yes
PZ/109,unpublis,2,2,sertraline,Yes,104,*,0.60,*,Flexible,*,HAMD 17,22.00,8,*,*,*,*,*,*,*,,
PZ/111,unpublis,3,3,fluoxetine,No,108,*,0.67,*,Flexible,*,HAMD 17,24.40,8,*,*,*,*,*,*,*,,
Quera‐Salva,2010,2,2,agomelatine,Yes,71,41.3,*,25‐50,Flexible,*,HAMD 17,26.10,25,DSM‐IV,Cross‐,Multi‐,Primary,Outpatients,No,No,,
Raft 1981,1981,2,3,amitriptyline,No,12,*,*,100‐300,Flexible,235,HAMD17,29.66,5,Feighne,North,Single,Secondary,Inpatients,Unclear,Unclear,,
Rapaport 1996,1996,2,2,fluvoxamine,Yes,51,40 (*),*,100‐150,Flexible,102,HAMD 21,25.20,7,DSM‐,North,Multi‐,Other/Unc,Outpatients,Yes,Yes,,
Rapaport 2003,2003,3,3,paroxetine,Yes,104,70.39,*,12.5‐50,Flexible,30,HAMD 17,22.10,12,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Yes,Unclear,,
Rapaport 2009,2009,2,3,paroxetine,Yes,177,67,*,25‐25,Fixed,25,HAMD 17,22.74,10,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Yes,Unclear,,
Raskin 2007,2007,2,2,duloxetine,Yes,207,72.63,0.60,60‐60,Fixed,60,HAMD 17,18.76,8,DSM‐IV,North,Multi‐,Other/Unc,Other/Unclea,Yes,Unclear,,
Ravindran 1995,1995,2,3,sertraline,Yes,40,38.8,0.65,50‐200,Flexible,*,HAMD 17,20.7,8,DSM‐,North,Multi‐,Secondary,Outpatients,Yes,Unclear,,
Ravindran 1997,1997,2,2,paroxetine,Yes,513,43.3,0.73,20‐40,Flexible,*,MADRS,29.7,12,Other,Cross‐,Multi‐,Primary,Other/Unclea,Yes,Yes,,
Reimherr 1990,1990,3,3,amitriptyline,No,149,37.9,*,50‐150,Flexible,104,HAMD 17,23.18,8,DSM‐III,North,Multi‐,Secondary,Outpatients,Yes,No,,
Reimherr 1998,1998,2,3,placebo,No,121,40.2,*,0‐0,Fixed,0,HAMD,17,23.21,8,DSM‐,North,Multi‐,Other/Unc,Outpatients,Yes,Unclear,
Remick 1994,1994,2,2,amitriptyline,No,17,41 (*),*,50‐300,Flexible,135,HAMD,17,23.50,7,DSM‐III,North,Multi‐,Secondary,Outpatients,Yes,Unclear,
Rickels 1982,1982,3,3,amitriptyline,No,68,40,*,75‐200,Flexible,140,HAMD,21,26.46,6,DSM‐III,North,Single,Both,Outpatients,Unclear,Unclear,
Rickels 1985,1985,2,4,amitriptyline,No,124,39,*,50‐225,Flexible,148,HAMD,21,25.48,6,DSM‐III,North,Multi‐,Secondary,Outpatients,Yes,No,
Rickels 1994,1994,2,3,nefazodone,Yes,96,44.7,0.68,100‐600,Flexible,375,HAMD,17,24.40,8,DSM‐,North,Multi‐,Both,Outpatients,Unclear,Yes,
Rickels 1995,1995,2,3,nefazodone,Yes,45,*,*,200‐600,Flexible,419,HAMD,17,24.20,8,DSM‐,North,Single,Other/Unc,Outpatients,Unclear,No,
Rickels 2009,2009,2,2,vilazodone,Yes,205,40,*,40‐40,Fixed,40,HAMD,17,24.80,8,DSM‐IV,North,Multi‐,Other/Unc,Other/Unclea,Unclear,Unclear,
Robinson 2014,2014,2,2,duloxetine,Yes,249,73.01,0.66,60‐60,Fixed,60,HAMD,17,19.40,24,DSM‐IV,Cross‐,Multi‐,Other/Unc,Other/Unclea,Yes,Unclear,
Roffman 1982,1982,2,3,amitriptyline,No,95,42.55,*,75‐225,Fixed,225,HAMD,21,24.2,4,DSM‐III,North,Multi‐,Other/Unc,Outpatients,Yes,Yes,
Roose 2004,2004,2,2,citalopram,Yes,87,79.9,0.54,10‐40,Flexible,*,HAMD,24,24.40,8,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Yes,Unclear,
Ropert 1989,1989,2,2,fluoxetine,Unclear,71,42.7,0.60,20‐20,Fixed,20,HAMD,21,23.00,6,DSM‐III,Europe,Multi‐,Other/Unc,Outpatients,Unclear,Unclear,
Rossini 2005,2005,2,2,fluvoxamine,Unclear,40,67.8,*,200‐200,Fixed,200,HAMD,21,31.23,7,DSM‐IV,Europe,Single,Secondary,Inpatients,Unclear,Yes,
Roth 1990,1990,2,3,fluvoxamine,Yes,30,42.8,0.67,100‐300,Flexible,218,HAM,D,28.3,6,DSM‐III,North,Multi‐,Secondary,Outpatients,Yes,Yes,
Rouillon 1991,1991,2,2,paroxetine,Yes,45,71.8,0.87,20‐50,Other/U,*,HAMD,21,27,6,DSM‐III,Europe,Multi‐,Secondary,Inpatients,Unclear,Unclear,
Rowan 1980,1980,2,3,amitriptyline,No,44,*,*,75‐,Flexible,*,HAMD,17,*,6,RDC,Europe,Single,Secondary,Outpatients,Yes,Unclear,
Rudolph 1998,1998,4,4,venlafaxine,Yes,89,43.6,0.40,75‐75,Fixed,75,HAMD,21,26.00,6,DSM‐III,North,Multi‐,Secondary,Outpatients,Yes,Yes,
Rudolph 1999,1999,3,3,fluoxetine,No,103,40 (*),*,20‐60,Flexible,47,HAMD,21,26.00,8,DSM‐IV,North,Multi‐,Secondary,Outpatients,Yes,Unclear,
Rush 1998,1998,2,2,nefazodone,Yes,*,*,*,200‐500,Flexible,*,HAMD,17,*,8,DSM‐,North,Multi‐,Other/Unc,Outpatients,Unclear,Unclear,
Rush 2001,2001,2,2,bupropion,Yes,122,39 (*),0.48,100‐300,Flexible,259,HAMD,21,24.8,16,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Unclear,Unclear,
Sacchetti 2002,2002,2,2,paroxetine,Yes,64,48.7,0.64,20‐50,Flexible,*,HAMD,21,25.4,12,DSM‐,Europe,Multi‐,Secondary,Outpatients,Yes,Yes,
Sambunaris,2014,2,2,placebo,No,220,44.6,0.66,0‐0,Flexible,0,HAMD,17,22.90,8,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Yes,Yes,
Samuelian 1998,1998,2,2,venlafaxine,Yes,52,47,*,100‐150,Flexible,105,HAMD,21,27.80,6,DSM‐,Europe,Multi‐,Other/Unc,Outpatients,Yes,Yes,
Sauer 2003,2003,2,2,venlafaxine,Yes,79,48.5,*,75‐150,Flexible,85,HAMD,21,23.60,6,ICD‐10,Europe,Multi‐,Both,Outpatients,Unclear,No,
Schatzberg,2002,2,2,mirtazapine,Yes,128,71.7,*,15‐45,Flexible,34,HAMD,17,22.20,8,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Unclear,Yes,
Schatzberg,2006,3,3,fluoxetine,No,100,71 (*),*,20‐60,Flexible,*,HAMD,21,24.00,8,DSM‐IV,North,Multi‐,Secondary,Outpatients,Yes,Yes,
Schneider 2003,2003,2,2,sertraline,Yes,371,70,0.54,50‐100,Flexible,82,HAMD,17,21.40,8,DSM‐IV,North,Multi‐,Both,Outpatients,Yes,Yes,
Schoene 1993,1993,2,2,paroxetine,Yes,54,74.3,*,20‐50,Flexible,*,HAMD,21,29.00,6,DSM‐,Europe,Multi‐,Other/Unc,Outpatients,Yes,Unclear,
Schwartz 2002,2002,2,2,reboxetine,Unclear,80,41.9,0.71,8‐10,Flexible,*,HAMD,17,28.60,8,DSM‐IV,Cross‐,Multi‐,Other/Unc,Other/Unclea,Unclear,Unclear,
Schweizer 1994,1994,2,3,venlafaxine,Yes,76,41,0.71,150‐225,Flexible,179,HAMD,21,25.39,6,DSM‐,North,Multi‐,Other/Unc,Outpatients,Yes,Unclear,
SCT‐MD‐09,unpublis,2,2,escitalopram,Yes,16,35.9,*,10‐20,Fixed,*,*,,*,5,DSM‐IV,North,Single,Other/Unc,Outpatients,Unclear,Unclear,
SCT‐MD‐49,unpublis,3,3,escitalopram,Yes,325,41.4,0.64,10‐10,Fixed,10,HAMD,24,29.30,8,DSM‐IV,North,Multi‐,Other/Unc,Other/Unclea,Yes,Unclear,
Sechter 1999,1999,2,2,sertraline,Yes,118,43.4,*,50‐150,Flexible,77,HAMD,17,24.50,8,DSM‐,Europe,Multi‐,Secondary,Outpatients,No,Unclear,
Sechter 2004,2004,2,2,milnacipran,Yes,149,44.8,*,100‐100,Fixed,100,HAMD,17,23.70,6,DSM‐IV,Europe,Multi‐,Secondary,Outpatients,Unclear,Unclear,
SER 101 (FDA),unpublis,4,5,sertraline,Yes,26,*,*,50‐50,Fixed,50,HAMD,17,*,4,DSM‐III,North,Multi‐,Secondary,Inpatients,Yes,Unclear,
SER 310 (FDA),unpublis,4,4,sertraline,Yes,33,*,*,50‐50,Fixed,50,*,,*,4,DSM‐III,Europe,Multi‐,Secondary,Inpatients,Yes,Yes,
SER 315 (FDA),unpublis,3,3,sertraline,Yes,85,41 (*),0.66,50‐200,Flexible,105,HAMD,17,23.10,8,DSM‐III,Europe,Multi‐,Other/Unc,Outpatients,Yes,Yes,
SER‐CHN‐1,unpublis,2,2,paroxetine,Yes,113,40.14,0.55,20‐30,Flexible,*,HAM,D,27.10,6,DSM‐,Asia,Multi‐,Other/Unc,Other/Unclea,Unclear,Unclear,
Settle 1999,1999,2,3,bupropion,Yes,150,37.2,*,100‐300,Flexible,*,HAMD,21,24.40,8,DSM‐,North,Multi‐,Other/Unc,Outpatients,Yes,No,
Shaw 1986,1986,2,2,citalopram,Unclear,24,*,*,30‐60,Flexible,46,HAMD,17,25.67,6,DSM‐III,Europe,Multi‐,Secondary,Both,Unclear,Yes,
Sheehan 2009a,2009,3,3,fluoxetine,No,99,37.8,0.69,60‐80,Flexible,61,HAMD,21,29.50,6,DSM‐IV,North,Multi‐,Secondary,Inpatients,Yes,Yes,
Sheehan 2009b,2009,2,2,trazodone,Yes,206,43.8,0.64,150‐375,Flexible,310,HAMD,17,23.20,8,DSM‐IV,North,Multi‐,Other/Unc,Other/Unclea,No,No,
Shelton 2006,2006,2,2,venlafaxine,Unclear,78,37.2,*,75‐225,Flexible,*,HAMD,17,22.40,8,DSM‐IV,North,Multi‐,Secondary,Outpatients,Unclear,No,
Shipley 1981,1981,2,2,amitriptyline,No,53,39,*,200‐200,Fixed,200,HAMD,17,38.5,4,RDC,North,Single,Secondary,Inpatients,Yes,Unclear,
Shu 2014 (CL3‐,2014,2,2,agomelatine,Yes,314,39.2,0.68,25‐50,Flexible,*,HAMD,17,26.80,8,DSM‐IV,Asia,Multi‐,Primary,Outpatients,No,No,
Silverstone,1999,3,3,fluoxetine,No,121,43.2,*,20‐60,Flexible,40,HAMD 21,27.20,12,DSM‐IV,*,Multi‐,Other/Unc,Outpatients,Yes,Unclear,,
Sir 2005,2005,2,2,venlafaxine,No,84,36.8,*,75‐225,Flexible,161,HAMD 17,23.50,8,DSM‐IV,Cross‐,Multi‐,Secondary,Outpatients,Unclear,Unclear,,
Smeraldi 1998,1998,3,3,venlafaxine,Unclear,55,71 (6),*,75‐150,Flexible,*,*,*,6,DSM‐,Europe,Multi‐,Other/Unc,Both,Yes,Unclear,,
Smith 1990,1990,3,3,mirtazapine,Yes,50,*,*,10‐35,Flexible,18,HAMD 21,27.50,6,DSM‐III,North,Unclear,Secondary,Outpatients,Yes,Unclear,,
Sramek 1995,1995,2,3,fluoxetine,No,72,33.9,0.60,20‐20,Fixed,20,HAMD 24,28.20,9,DSM‐,North,Single,Other/Unc,Other/Unclea,Yes,Unclear,,
Stahl 2000,2000,3,3,citalopram,Yes,107,39.1,*,20‐60,Flexible,57,HAMD 21,26.50,8,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Yes,Unclear,,
Stahl 2010,2010,3,3,agomelatine,Yes,168,43.2,0.68,25‐25,Fixed,25,HAMD 17,26.80,8,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Unclear,No,,
Staner 1995,1995,2,2,paroxetine,Yes,21,41.7,*,30‐30,Fixed,30,HAMD 21,26.00,5,RDC,Europe,Single,Secondary,Inpatients,Yes,Yes,,
Stark 1985,1985,2,3,fluoxetine,Yes,185,40 (*),0.68,20‐80,Flexible,69,HAMD 21,27.50,6,DSM‐III,North,Multi‐,Other/Unc,Outpatients,Yes,Unclear,,
Stratas 1984,1984,2,3,amitriptyline,No,12,*,*,50‐300,Flexible,179,HAMD,21,*,6,RDC,North,Single,Secondary,Outpatients,Yes,Unclear,
Studie009,unpublis,2,2,reboxetine,Yes,26,45.81,0.65,8‐8,Fixed,8,HAMD,17,25.33,4,DSM‐III,Europe,Multi‐,Secondary,Inpatients,Unclear,Yes,
Studie032,unpublis,2,2,reboxetine,Yes,43,40.65,0.63,8‐10,Flexible,8,HAMD,21,27.23,8,DSM‐IV,Asia,Multi‐,Secondary,Both,Yes,Yes,
Study 015,unpublis,2,3,reboxetine,Yes,112,45.9,0.63,8‐10,Flexible,9,HAMD,21,27.50,6,DSM‐,Cross‐,Multi‐,Secondary,Both,Unclear,Yes,
Study 032a,unpublis,2,2,reboxetine,Yes,24,79.75,0.79,4‐6,Flexible,*,HAMD,21,23.20,8,DSM‐,Europe,Multi‐,Secondary,Inpatients,Unclear,Yes,
Study 043,2006,2,2,reboxetine,Yes,183,42.8,0.69,8‐10,Flexible,9,HAMD,21,27.40,24,DSM‐IV,Europe,Multi‐,Other/Unc,Outpatients,Unclear,Yes,
Study 045,unpublis,3,4,reboxetine,Yes,87,40.8,0.63,4‐4,Fixed,4,HAMD,21,26.20,6,DSM‐IV,Cross‐,Multi‐,Both,Both,No,Yes,
Study 049,unpublis,2,2,reboxetine,Yes,107,39.9,0.55,8‐10,Flexible,10,HAMD,21,25.10,6,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Yes,No,
